accession ID,coverage,% reads mapped,kmer size used for assembly,total length of scaffolds and singletons,contig N50,scaffold N50,length of reference that is well-aligned with contigs
6111,24.27,79.27%,33,108462340,1718,10978,93629504
6112,25.9,84.39%,41,109323796,2324,12110,95701557
6113,22.02,84.53%,33,108460591,2625,13737,94781392
6114,24.72,82.88%,33,109665966,2816,15731,95767825
6125,18.66,84.51%,33,110098336,1852,19262,94009177
6126,18.65,70.11%,33,143205963,3368,26891,95113429
6128,26.29,93.49%,33,111794535,3527,29035,96642097
6131,27.01,94.67%,41,113607026,3578,26787,98205116
6132,29.27,95.00%,33,112001911,3573,28237,96321650
6133,25.31,92.91%,33,110771293,3275,22694,96149726
6136,26.51,94.54%,33,112615110,3523,28370,96293968
6137,20.35,86.45%,33,142462735,1548,10888,93878785
6138,18.42,88.75%,41,113503409,3445,22425,98346064
6140,23.62,93.33%,33,110928363,2030,17274,94749522
6142,25.08,93.43%,33,111375388,3685,29745,96414910
6145,22.04,95.20%,33,111363837,4013,33590,96836239
6148,23.9,94.00%,33,108608558,2509,13845,92876388
6150,30.91,95.47%,33,110415773,3492,24707,96407317
6151,27.99,95.23%,41,113667725,4412,27301,98440200
6154,19.67,86.75%,33,110849663,2332,18802,94546238
6163,22.43,81.04%,41,147761860,1890,16812,98198733
6166,29.23,95.32%,41,113827957,4121,29939,98272919
6169,25.66,93.20%,33,110954824,3612,26090,96198115
6171,11.16,91.71%,33,87228620,596,2804,64776367
6172,23.83,91.78%,33,111151494,3263,26572,96088379
6173,27.7,94.83%,41,112775270,3757,22939,97392459
6174,23.8,92.76%,33,110290579,3101,16701,95367259
6177,24.27,89.96%,41,112343749,2893,15849,96533665
6180,24.49,93.25%,41,110852056,2805,15546,100366255
6184,29.85,95.42%,41,113353786,4361,26398,98536648
6188,21.19,86.29%,41,104129939,1145,4425,90656723
6189,23.03,89.39%,41,114492662,2365,12462,95071890
6193,22.36,91.33%,33,111688444,2725,15330,95347224
6194,33.78,95.54%,41,114562234,6073,41309,99517036
6195,30.44,94.00%,41,113363720,3941,31522,99002077
6198,31.12,94.65%,41,113207469,3974,30327,99140068
6201,44.34,91.31%,41,114075967,5076,21196,98602097
6202,30.42,90.70%,41,110568721,2925,14759,97511633
6209,31.05,94.86%,41,113516994,4997,34981,98265780
6210,22.62,92.33%,33,109718012,2890,13947,94262233
6216,29.77,92.96%,41,113582000,4707,43457,98691349
6217,31.93,94.86%,41,113605920,5318,38084,98545407
6218,53.49,93.27%,41,113728567,4695,33910,98352118
6220,17.15,89.07%,33,109736748,1924,13849,92694988
6231,10.96,95.56%,27,102981510,1363,6899,87040580
6238,18.62,94.34%,41,112917840,2795,24123,97918667
6240,16.39,79.93%,33,107965896,1772,11599,91099371
6241,9.18,91.88%,27,95765062,723,3544,76102109
6242,13.77,93.60%,27,104331933,1588,7840,89416681
6243,12.51,90.51%,33,108798807,1197,12281,91841710
6244,16.13,94.99%,33,106651420,1783,8811,89576267
6255,10.7,93.64%,27,100162657,1032,5106,83509561
6258,31.43,94.79%,33,110620766,3087,15642,94532851
6268,37.59,93.65%,41,114108355,4763,46827,99500797
6276,20.13,92.23%,41,113760334,2788,34316,99214959
6284,40.87,93.37%,41,113551413,4239,24425,98581446
6900,15.08,91.96%,27,85702017,875,2253,69903167
6901,14.14,92.46%,33,102049637,1347,6898,82439313
6913,13.59,90.13%,33,107976000,1466,11425,91426587
6917,16.29,91.00%,27,86864762,848,2342,70261262
6918,15.2,89.71%,33,108492674,1923,11207,92757957
6964,10.96,92.19%,33,107197210,1082,9619,90645515
6965,28.84,89.73%,41,110642831,3055,13663,97448359
6968,14.18,91.24%,27,87190524,837,2638,69795405
6973,24.12,82.83%,41,111923253,3495,19204,98877030
6974,29.33,95.57%,41,109882544,1234,8248,92263074
7516,18.1,92.91%,27,98252645,1075,4577,82754861
7517,12.04,63.75%,27,114516816,522,1348,70296032
7518,16.86,90.54%,33,102736577,1390,6398,83436379
8222,38.42,89.91%,33,100930945,1458,5202,82932387
8230,22.07,86.21%,33,109787238,2936,19267,95979934
8231,19.88,92.54%,27,81292145,585,2215,60522845
8237,23.14,79.06%,41,111027418,941,6256,91195407
8240,20.47,85.03%,33,107055730,1884,8578,92281087
8241,21.09,93.59%,33,111141334,2887,17443,95665492
8242,28.78,90.33%,41,110922166,3298,15545,98320071
8247,19.02,90.46%,33,103098849,1417,6690,84693419
8249,19.5,92.17%,27,97836819,1281,3736,85452859
8256,19.82,93.02%,33,101761031,1390,5888,85775215
8258,24.38,90.45%,33,109050875,3180,15236,96214066
8259,31.88,94.85%,41,108222693,3262,6356,94521345
8283,16.92,91.76%,33,109630684,2166,13294,93556757
8306,20.64,91.12%,33,104918874,1369,6893,89010088
8334,32.54,91.13%,41,112812232,3835,22390,99306210
8335,20.53,93.48%,27,99176786,1351,4017,86143238
8369,17.55,90.52%,33,101378718,1416,5749,82807878
8376,24.95,79.64%,41,113149922,1160,12166,95349421
8386,27.24,90.91%,41,112759447,5424,24345,99111177
8387,17.22,93.18%,27,97043996,1126,4693,81183485
8422,27.9,91.37%,41,112210565,3495,17035,98608595
9057,27.56,91.27%,41,111862319,3002,17280,98434588
9058,50.03,87.32%,41,115226505,3499,19339,97183218
9321,35.14,94.60%,41,113660209,4487,24306,97895798
9323,25.77,93.80%,41,112669332,3821,18949,97093547
9371,36.57,95.22%,41,113308017,5148,37002,98870748
9382,30.46,94.49%,41,112409512,3839,26019,98983699
9386,32.81,94.02%,41,113561722,4526,28609,98749653
9388,30.5,95.09%,41,114566780,4332,31779,98341392
9390,26.96,95.50%,33,112352332,3829,23822,96186363
9391,64.68,93.50%,41,114701565,4899,45938,99161087
9394,33.66,95.18%,41,114276135,4993,29910,98991257
9395,57.78,94.30%,41,114200318,4687,49331,98711166
9399,32.53,94.60%,41,113062516,2908,15934,93938041
9402,26.75,94.36%,41,113678570,4908,35003,99000917
9404,79.41,94.67%,41,114130309,4726,52237,99016826
9405,20.8,94.82%,33,108584932,2522,12808,93050287
9407,14,95.83%,27,106813872,1802,12030,90299964
9408,18.77,95.14%,33,110442138,2475,14960,93431432
9409,21.76,94.36%,33,112358031,3103,19326,95476240
9412,26.98,94.72%,41,114260972,4726,34002,99404715
9416,72.29,94.34%,41,114385865,4602,50084,98684765
9421,23.43,95.26%,33,112007761,4127,32334,97449408
9427,32.37,94.81%,41,113586883,5966,40512,98815063
9433,30.19,94.62%,41,113375351,5389,35132,99571769
9434,11.81,95.04%,33,110505921,917,9904,89293399
9437,34.91,95.43%,41,114570882,6273,41164,99450246
9442,22.63,93.03%,41,113582072,3286,32074,99272195
9450,9.79,92.69%,27,100555815,939,4907,83713808
9451,27.53,95.46%,41,117377269,3064,19860,95395975
9452,19.61,95.20%,33,109774019,2641,13589,93774424
9453,71.38,93.62%,41,114141610,4779,51794,98872453
9454,27.33,92.93%,41,111937234,3361,16627,97020521
9455,34.66,95.63%,41,114062240,5958,38877,100060927
9470,39.05,95.53%,41,113428051,6480,42029,99460336
9471,31.13,90.10%,41,114021222,5564,40867,99219775
9476,18.95,95.23%,33,109013093,2535,11482,93624839
9481,28.12,95.37%,33,111007655,3406,22323,95863724
